lat,lon,amplitude_1014kgm,year,month,day,hour,minute,second,lat2,lon2,Msurf,Region Number,ID
76.11,-59.37,0.35,2009,6,14,0,2,24,76.5,-61.5,4.8,4b,S200906140002A
69.25,-49.6,0.45,2009,6,18,16,24,48,69.75,-49.75,4.8,7,S200906181624A
69.24,-49.49,0.9,2009,6,26,13,27,36,68.75,-50.25,4.9,7,S200906261327A
73.09,-54.25,0.19,2009,7,3,7,20,0,73,-55,4.7,5b,S200907030720A
75,-56.75,0.44,2009,7,22,0,20,0,76,-54,4.8,4d,S200907220020A
65.32,-41.24,0.25,2009,7,22,21,16,24,65,-41,4.7,3,S200907222116A
69.18,-49.52,0.38,2009,8,11,20,12,8,69.25,-51.25,4.8,7,S200908112012A
75.61,-58.32,0.28,2009,8,20,0,16,40,75.5,-57.5,4.7,4c,S200908200016A
69.2,-49.55,0.44,2009,8,21,7,2,24,69.75,-49.75,4.8,7,S200908210702A
75.71,-58.08,0.27,2009,8,23,7,24,0,75.5,-58.5,4.8,4c,S200908230724A
66.41,-38.33,0.36,2009,8,26,22,59,20,66.25,-38.75,4.8,2,S200908262259A
76.06,-59.58,0.44,2009,9,19,22,31,4,76,-62,4.8,4b,S200909192230A
66.52,-38.5,0.46,2009,11,5,21,7,44,66.25,-38.25,4.8,2,S200911052107A
75.97,-59.55,0.56,2009,11,22,17,15,20,76.25,-60.75,4.9,4b,S200911221715A
68.57,-33.12,0.75,2009,11,27,8,52,32,69,-33,4.9,1,S200911270852A
76.04,-59.44,0.55,2009,12,2,10,31,12,75.25,-58.25,4.9,4b,S200912021031A
68.65,-33.81,0.23,2009,12,5,5,0,24,69.75,-34.25,4.7,1,S200912050500A
68.63,-33.08,0.51,2009,12,28,2,50,32,69.5,-33.5,4.8,1,S200912280250A
68.73,-33.1,0.51,2010,1,26,10,52,56,68.75,-33.75,4.9,1,S201001261052A
76.05,-59.87,0.28,2010,1,27,15,37,44,75.5,-59.5,4.7,4b,S201001271537A
68.69,-33.3,0.19,2010,2,4,0,16,56,69,-33,4.6,1,S201002040016A
66.41,-38.37,0.29,2010,2,11,1,17,4,67.25,-38.25,4.7,2,S201002110116A
69.19,-49.52,0.29,2010,2,21,4,12,24,69.25,-48.25,4.7,7,S201002210412A
69.27,-49.5,0.3,2010,3,19,1,12,48,69.5,-50.5,4.7,7,S201003190112A
76.14,-59.65,0.23,2010,3,22,5,55,12,75.75,-60.75,4.7,4b,S201003220555A
69.25,-49.38,0.28,2010,4,14,14,10,40,68.5,-48.5,4.7,7,S201004141410A
69.34,-49.69,0.44,2010,5,21,3,56,16,68.75,-50.25,4.8,7,S201005210356A
69.3,-49.52,0.85,2010,5,27,11,23,44,69.25,-45.75,4.9,7,S201005271123A
69.27,-49.4,0.36,2010,6,17,9,24,24,68.25,-46.25,4.8,7,S201006170924A
66.39,-38.29,0.29,2010,6,21,9,34,56,67.25,-37.75,4.7,2,S201006210934A
66.46,-38.32,0.58,2010,7,12,17,49,44,66.5,-37.5,4.9,2,S201007121749A
66.41,-38.48,0.36,2010,7,15,8,53,36,66.5,-38.5,4.8,2,S201007150853A
69.28,-49.24,0.44,2010,7,15,11,20,32,69,-49,4.8,7,S201007151120A
75.97,-60.01,0.43,2010,7,17,3,51,12,75.25,-58.25,4.8,4b,S201007170351A
75.96,-59.81,0.74,2010,7,27,15,7,44,76.25,-62.75,4.9,4b,S201007271507A
